Year,Month,Fish,c13l,n15l,c13m,n15m,c13s,n15s,Location,Len,Weight,Sex,Age,Animal
2018,5,052218-020,-20.43,12.92,-18.54,15.1,-19.48,13.71,NB_TWO,22,164,F,2,BSB
2018,5,052218-021,-21.28,11.08,-18.49,13.7,-19.33,12.79,NB_TWO,25,243,F,3,BSB
2018,5,052218-022,-20.62,12.73,-17.68,14.6,-18.98,14.13,NB_TWO,28,333,M,3,BSB
2018,5,052218-023,-20.99,12.4,-17.44,14.66,-18.8,14.67,NB_TWO,31,479,F,4,BSB
2018,5,052218-024,-19.87,11.57,-18.89,12.71,-19.51,12.14,NB_TWO,20,166,M,2,BSB
2018,5,052218-025,-20.47,11.14,-18.64,13.28,-19.07,12.55,NB_TWO,24,211,F,3,BSB
2018,5,052218-026,-21.89,11.49,-18.29,13.28,-19.07,13.34,NB_TWO,28,343,F,4,BSB
2018,5,052218-027,-20.82,10.82,-18.64,12.21,-19.58,12.03,NB_TWO,26,252,F,3,BSB
2018,5,052218-028,-21.68,11.79,-18.52,13.21,-19.05,13.39,NB_TWO,25,333,F,3,BSB
2018,5,052218-029,-19.89,12.64,-18.36,13.32,-18.38,13.8,NB_TWO,29,319,M,3,BSB
2018,5,052218-030,-19.89,12.53,-18.27,13.72,-19.01,13.72,NB_TWO,28,311,M,4,BSB
2018,5,052218-031,-20.72,12.67,-17.2,13.99,-18.85,12.84,NB_TWO,27,271,M,2,BSB
2018,5,052218-032,-20.54,12.38,-18.41,13.45,-19.13,13.76,NB_TWO,34,538,M,4,BSB
2018,5,052218-033,-19.77,12.52,-18.54,13.28,-19,13.27,NB_TWO,29,349,M,4,BSB
2018,5,052218-034,-21.76,12.1,-17.88,13.98,,,NB_TWO,27,272,M,3,BSB
2018,5,052218-035,-20.81,11.63,-18.13,14.12,,,NB_TWO,25,266,F,4,BSB
2018,5,052218-036,-22.03,13.07,-18.25,12.72,,,NB_TWO,18,91,M,2,BSB
2018,5,052218-037,-20.66,12.5,-17.73,14.87,,,NB_TWO,31,387,F,4,BSB
2018,5,052218-038,-22.24,12.26,-18.38,13.08,,,NB_TWO,26,273,F,3,BSB
2018,5,052218-039,-21.64,11.22,-18.91,12.55,,,NB_TWO,22,158,F,2,BSB
2018,5,052218-040,-21.5,10.87,-18.24,12.96,,,NB_TWO,20,123,F,2,BSB
2018,5,052218-041,-20.75,12.43,-18.27,13.6,,,NB_TWO,30,362,M,3,BSB
2018,5,052218-042,-20.48,12.74,-17.88,13.9,,,NB_TWO,29,370,M,5,BSB
2018,5,052218-043,-20.56,11.71,-18.57,13.3,,,NB_TWO,25,201,F,3,BSB
2018,5,052218-044,-21.15,12.49,-17.68,14.38,,,NB_TWO,29,295,M,4,BSB
2018,5,052218-045,-20.34,11.87,-17.93,14.32,,,NB_TWO,32,392,M,4,BSB
2018,5,052218-046,-19.89,12.47,-17.92,14.2,,,NB_TWO,31,326,M,3,BSB
2018,5,052218-047,-21.15,10.96,-17.98,13.16,,,NB_TWO,28,303,F,4,BSB
2018,5,052218-048,-21.24,10.8,-17.51,14.17,,,NB_TWO,26,255,F,4,BSB
2018,5,052218-049,-20.14,12.5,-18.12,14.37,-18.63,13.93,NB_TWO,27,284,M,3,BSB
2018,5,052218-050,-21.25,11.7,-18.48,12.88,-19.05,13.16,NB_TWO,26,303,F,3,BSB
2018,5,052218-051,-20.22,11.86,-19.15,12.85,,,NB_TWO,21,129,F,2,BSB
2018,5,052218-052,-21.34,12.2,-18.69,13.07,,,NB_TWO,31,455,M,4,BSB
2018,5,052218-053,-21.6,11.3,-18.23,13.41,,,NB_TWO,30,440,F,5,BSB
2018,5,052218-054,-21.58,11.72,-18.42,15.18,,,NB_TWO,20,346,F,3,BSB
2018,5,052218-055,-20.79,11.37,-18.06,13.56,,,NB_TWO,20,115,F,2,BSB
2018,5,052218-056,-20.81,11.24,-18.45,14.74,,,NB_TWO,24,195,F,3,BSB
2018,5,052218-057,-20.19,12.21,-18.45,13.66,,,NB_TWO,34,509,M,5,BSB
2018,5,052218-058,-22.49,12.1,-17.6,13.79,,,NB_TWO,32,488,F,4,BSB
2018,5,052218-059,-20.15,11.54,-17.93,14.32,,,NB_TWO,20,103,F,2,BSB
2018,5,052218-060,-21.67,12.19,-18.43,13.8,,,NB_TWO,28,316,F,3,BSB
2018,5,052218-061,-21.95,11.86,-18.18,13.23,,,NB_TWO,26,275,F,3,BSB
2018,5,052218-062,-22.67,12.54,-17.63,13.58,,,NB_TWO,27,333,F,3,BSB
2018,5,052218-063,-20.25,12.74,-18.9,14.12,,,NB_TWO,23,175,M,2,BSB
2018,5,052218-064,-21.62,11.62,-17.73,14.08,,,NB_TWO,27,278,F,3,BSB
2018,5,052218-065,-20.48,12.35,-17.65,14.54,,,NB_TWO,35,504,M,4,BSB
2018,5,052218-066,-21.61,12.16,-17.69,15.11,,,NB_TWO,38,336,F,3,BSB
2018,5,052218-067,-21.32,13.47,-17.53,15.03,,,NB_TWO,32,397,M,3,BSB
2018,5,052218-068,-20.21,11.38,-18.37,13.26,,,NB_ONE,26,228,M,4,BSB
2018,5,052218-069,-21.1,12.89,-17.84,14.17,,,NB_ONE,31,353,M,4,BSB
2018,5,052218-070,-21.56,10.76,-19.07,13.02,,,NB_ONE,21,139,F,3,BSB
2018,5,052218-071,-20.5,12.68,-18.36,13.26,,,NB_ONE,27,308,F,3,BSB
2018,5,052218-072,-21.99,12.73,-17.98,14.18,,,NB_ONE,27,304,F,3,BSB
2018,5,052218-073,-22.35,12.76,-18.66,13.45,,,NB_ONE,26,278,F,4,BSB
2018,5,052218-074,-20.02,12.95,-18.3,13.66,,,NB_ONE,30,405,M,4,BSB
2018,5,052218-075,-22.01,12.45,-18.16,13.72,,,NB_ONE,28,349,F,4,BSB
2018,5,052218-076,-20.1,12.32,-17.35,14.1,,,NB_ONE,25,226,M,3,BSB
2018,5,052218-077,-22.84,11.21,-18.73,13.64,,,NB_ONE,27,254,F,4,BSB
2018,5,052218-078,-21.6,12.91,-18.24,13.7,,,NB_ONE,28,316,F,4,BSB
2018,5,052218-079,-21.93,11.58,-18.41,13.13,,,NB_ONE,28,335,F,4,BSB
2018,5,052218-080,-21.35,12.13,-18.79,12.92,,,NB_ONE,27,266,M,4,BSB
2018,5,052218-081,-20.02,11.79,-18.06,13.44,,,NB_ONE,20,140,F,2,BSB
2018,5,052218-082,-20.9,12.09,-17.79,14.31,,,NB_ONE,25,239,F,3,BSB
2018,5,052218-083,-21.24,11.83,-18.92,13.74,,,NB_ONE,33,436,M,4,BSB
2018,5,052218-084,-20.46,11.04,-19.06,13.93,,,NB_ONE,24,204,F,2,BSB
2018,5,052218-085,-21.23,11.69,-19.16,13.89,,,NB_ONE,21,169,F,2,BSB
2018,5,052218-086,-20.14,11.84,-18.45,13.75,,,NB_ONE,21,149,M,2,BSB
2018,5,052218-087,-19.95,12.84,-17.84,14.79,,,NB_ONE,27,292,M,3,BSB
2018,5,052218-088,-20.39,12.01,-18.51,14.44,,,NB_ONE,27,260,M,3,BSB
2018,5,052218-089,-20.87,13.2,-17.65,14.79,,,NB_ONE,36,597,M,5,BSB
2018,5,052218-090,-19.95,13,-18.27,15.66,,,NB_ONE,30,345,M,3,BSB
2018,5,052218-091,-20.11,12.58,-18.03,14.52,,,NB_ONE,28,305,F,3,BSB
2018,5,052218-092,-21.51,11.56,-18.61,13.89,,,NB_ONE,18,96,F,2,BSB
2018,5,052218-093,-20.41,12.57,-18.26,13.71,-19.13,13.84,NB_ONE,21,151,M,3,BSB
